geo\time,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,
Közép-Magyarország (NUTS 2013),16.9,,15.6,,18.5,,20.7,,20.1,,23.4,,27.1,,23.6,,17.5,,14.1,,11.8,,:,
Dunántúl,17.1,,14.8,,17.6,,17.9,,20.8,,22.6,,22,,21.5,,17,,14.2,,12.3,,8.5,
Közép-Dunántúl,19.2,,15.5,,16.3,,19.3,,19.8,,23.9,,21.1,,18.1,,16.1,,14.1,,12.2,,7.6,
Nyugat-Dunántúl,11.4,,11.6,,14.9,,13.7,,15.9,,17.7,,17.7,,18,,12.3,,9.4,,8.9,,4.2,
Dél-Dunántúl,20.7,,17.4,,21.9,,20.8,,27.1,,26.1,,27.7,,29.1,,23,,19.6,,16.1,,14.2,
Alföld és Észak,24,,21.8,,23.6,,25,,27.7,,31.2,,32.6,,26.3,,22.6,,19.3,,18.3,,13.6,
Észak-Magyarország,32.3,,29.9,,29.5,,31.5,,34.6,,36.4,,39.8,,35.4,,30.7,,29.9,,26.9,,25,
Észak-Alföld,21.1,,19.6,,21.4,,22.5,,24.6,,31.4,,32.6,,25.6,,21.3,,16.8,,16.5,,10,
Dél-Alföld,19.5,,16.8,,20.7,,21.8,,24.7,,26.2,,25.8,,18.7,,16.6,,12.7,,12.5,,7.5,
Malta,4.4,,4.3,,5,,6.5,,6.6,,9.2,,10.2,,10.3,,8.5,,4.4,,3.3,,:,
Netherlands,1.7,,1.5,,1.4,,2.2,,2.5,,2.3,,2.5,,3.2,,2.6,,2.6,(b),2.6,,:,
Noord-Nederland,:,,:,,:,,:,,1.8,,1.3,,1.9,,1.8,,1.5,,1.5,(b),1.7,,:,
Groningen,:,,:,,:,,:,,:,,:,,:,,:,,:,,1.1,(b),1.8,,:,
Friesland (NL),:,,:,,:,,:,,:,,:,,:,,:,,:,,1,(b),1.9,,:,
Drenthe,:,,:,,:,,:,,:,,:,,:,,:,,:,,2.6,(b),1.4,,:,
Oost-Nederland,:,,:,,:,,:,,2.3,,2.1,,2.1,,3,,1.4,,1.5,(b),1.9,,:,
Overijssel,:,,:,,:,,:,,:,,:,,:,,:,,:,,1.4,(b),2.3,,:,
Gelderland,:,,:,,:,,:,,:,,:,,:,,:,,:,,1.3,(b),1.5,,:,
Flevoland,:,,:,,:,,:,,:,,:,,:,,:,,:,,2.5,(b),2.8,,:,
West-Nederland,:,,:,,:,,:,,3,,3.1,,3.1,,4.1,,3.5,,3.6,(b),3.2,,:,
Utrecht,:,,:,,:,,:,,:,,:,,:,,:,,:,,1.6,(b),2.4,,:,
Noord-Holland,:,,:,,:,,:,,:,,:,,:,,:,,:,,4.5,(b),4.3,,:,
Zuid-Holland,:,,:,,:,,:,,:,,:,,:,,:,,:,,3.8,(b),2.9,,:,
Zeeland,:,,:,,:,,:,,:,,:,,:,,:,,:,,1.8,(b),0.6,,:,
Zuid-Nederland,:,,:,,:,,:,,1.8,,1.3,,1.8,,1.8,,2.2,,2,(b),2.3,,:,
Noord-Brabant,:,,:,,:,,:,,:,,:,,:,,:,,:,,2,(b),2.5,,:,
Limburg (NL),:,,:,,:,,:,,:,,:,,:,,:,,:,,2,(b),1.9,,:,
Austria,3.3,,5.9,(b),4.6,,4.3,,4,,4,,4.2,,4,,3.6,,3,,3.7,,2.8,
Burgenland (AT),:,,:,,:,,:,,:,,:,,:,,1.2,(e),1.6,(e),1.7,(e),2.3,(e),:,
Niederösterreich,:,,:,,:,,:,,:,,:,,:,,2.7,(e),2.1,(e),2.2,(e),1.9,(e),:,
Wien,:,,:,,:,,:,,:,,:,,:,,8.8,(e),7.5,(e),7.2,(e),7.4,(e),:,
Kärnten,:,,:,,:,,:,,:,,:,,:,,2.8,(e),1.7,(e),1.4,(e),0.9,(e),:,
Steiermark,:,,:,,:,,:,,:,,:,,:,,2.9,(e),3.3,(e),3.7,(e),3.1,(e),:,
Oberösterreich,:,,:,,:,,:,,:,,:,,:,,1.8,(e),1.9,(e),1.4,(e),1.2,(e),:,
Salzburg,:,,:,,:,,:,,:,,:,,:,,3.3,(e),2.5,(e),2.6,(e),2.1,(e),:,
Tirol,:,,:,,:,,:,,:,,:,,:,,2.9,(e),3.1,(e),3.4,(e),3,(e),:,
Vorarlberg,:,,:,,:,,:,,:,,:,,:,,4.4,(e),4,(e),3.6,(e),2.6,(e),:,
Poland,22.3,,17.7,(b),15,,14.2,,13,,13.5,,11.9,,10.4,,8.1,,6.7,,5.9,,:,
Region Centralny (NUTS 2013),:,,:,,:,,:,,:,,11.8,,10.6,,9.8,,6.3,,5.1,,4.2,,:,
