geo\time,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,
Ciudad Autónoma de Melilla (ES),18.2,,20,,23.5,,22.8,,22.4,,26.9,,32.5,,28.4,,34,,30.8,,27.6,,25.8,
Canarias (ES),10.5,,17.2,,26,,28.6,,29.3,,32.6,,33.7,,32.4,,29.1,,26.1,,23.5,,20.1,
Île de France,7.8,,6.9,,8.1,,8.5,,8.2,,8.1,,9,,9.7,,9.6,,9.2,,8.7,,8.8,
Centre - Val de Loire,5.8,,5.5,,6.7,,7,,8.3,,10.8,,10.6,,9.5,,10.7,,9.9,,8.6,,8.3,
Bourgogne,6.7,,6.4,,7.9,,8.9,,8.8,,8.8,,10.6,,10.7,,8.7,,9.5,,10.6,,9,
Franche-Comté,7.1,,6.9,,8.9,,8.2,,7.9,,9,,9.5,,9.9,,9.2,,8.2,,6.8,,7.3,
Basse-Normandie,5.6,,6.3,,6.9,,8.2,,9.2,,8.8,,9.1,,8.2,,8.2,,8.6,,8.3,,8.4,
Haute-Normandie,8.6,,8.4,,10,,9.7,,8.9,,10.9,,11.6,,11.9,,10.6,,11.5,,11.3,,9.3,
Nord-Pas de Calais,11.3,,11,,13.1,,12.5,,12.3,,13.1,,14.7,,13.8,,14,,13.3,,12.9,,12.2,
Picardie,9.9,,7.2,,10.3,,11.4,,9,,10.6,,11.5,,11.6,,10.8,,11.6,,10,,9.3,
Alsace,5.9,,5.9,,8.2,,8.1,,7.4,,8.5,,9.7,,10.1,,9.3,,10.9,,9,,8,
Champagne-Ardenne,8,,7.5,,9.2,,9.2,,10.3,,10.7,,10.5,,11.4,,13,,11.3,,9.5,,8.7,
Lorraine,7.5,,8.1,,11.2,,9.4,,10.1,,11.7,,12.1,,11.8,,12.2,,11.8,,11,,10,
Pays de la Loire,5.9,,6.1,,7.6,,8.5,,8.5,,8.4,,8.8,,8.6,,9.1,,8.8,,7.1,,7.8,
