CountryID;Country Name;WEBNAME;Region;World Rank;Region Rank;2016 Score;Change in Yearly Score from 2015;Property Rights;Change in Property Rights from 2015;Freedom from Corruption;Change in Freedom from Corruption from 2015;Fiscal Freedom ;Change in Fiscal Freedom from 2015;Gov't Spending;Change in Gov't Spending from 2015;Business Freedom;Change in Business Freedom from 2015;Labor Freedom;Change in Labor Freedom from 2015;Monetary Freedom;Change in Monetary Freedom from 2015;Trade Freedom;Change in Trade Freedom from 2015;Investment Freedom ;Change in Investment Freedom from 2015;Financial Freedom;Change in Financial Freedom from 2015;Tariff Rate (%);Income Tax Rate (%);Corporate Tax Rate (%);Tax Burden % of GDP;Gov't Expenditure % of GDP ;Country;Population (Millions);GDP (Billions, PPP);GDP Growth Rate (%);5 Year GDP Growth Rate (%);GDP per Capita (PPP);Unemployment (%);Inflation (%);FDI Inflow (Millions);Public Debt (% of GDP)
53;Eritrea;Eritrea;Sub-Saharan Africa;173;45;42,7;3,8;10;0;18;-2;80,9;23,9;73,4;1,6;32,1;13,9;65,6;0,1;57,8;0;69,2;0;0;0;20;0;5,4;30;30;10,7;29,8;Eritrea;6,5;$7,8 ;1,7;4,2;$1.195;7,2;12,3;46,5;125,3
54;Estonia;Estonia;Europe;9;3;77,2;0,4;90;0;69;1;81,9;1,3;54,9;1,7;79;-2,5;57,2;-1,5;82,2;4,6;88;0;90;0;80;0;1;20;20;31,8;38,8;Estonia;1,3;$35,6 ;2,1;3,8;$26.999;7,7;0,5;982,9;9,7
55;Ethiopia;Ethiopia;Sub-Saharan Africa;148;37;51,5;0;30;0;33;0;77,2;-0,2;90,5;-0,9;55,8;-0,1;57,7;1,3;66;-0,1;65;0,6;20;0;20;0;10;35;30;12,4;17,8;Ethiopia;91;$144,6 ;10,3;10,2;$1.589;5,2;7,4;1.200,00;21,9
56;Fiji;Fiji;Asia-Pacific;107;23;58,8;-0,2;30;5;22,3;0;81,2;-0,1;75,3;0,7;62;-1,2;70,6;-4,6;77,6;-0,7;68,8;-1,4;50;0;50;0;10,6;29;20;25,3;28,7;Fiji;0,9;$7,3 ;4,1;3,2;$8.236;7,9;0,5;278,9;49,5
57;Finland;Finland;Europe;24;13;72,6;-0,8;90;0;89;0;66,5;0,1;0,8;-2,8;90,7;-1,9;53,7;-1,1;81,9;2;88;0;85;-5;80;0;1;31,8;20;44;57,5;Finland;5,5;$221,0 ;-0,1;0,5;$40.347;8,6;1,2;18.624,70;59,6
58;France;France;Europe;75;32;62,3;-0,2;80;0;69;-2;47,7;0,2;2,5;0;78,4;-1,8;43,5;0;79,1;1,6;83;0;70;0;70;0;1;45;34,3;45;57;France;63,9;$2.580,8 ;0,4;1;$40.375;9,9;0,6;15.191,10;95,1
59;Gabon;Gabon;Sub-Saharan Africa;105;15;59;0,7;40;0;37;3;77,6;0,1;74,5;-0,1;58,4;0,5;61,9;-2,4;78,4;0;61,8;0,8;60;5;40;0;14,1;35;30;10,6;29,2;Gabon;1,6;$36,3 ;5,1;5,9;$22.924;19,7;4,5;972,9;27,8
60;Gambia;Gambia;Sub-Saharan Africa;119;21;57,1;-0,4;25;0;29;1;75,5;0,1;78;4,6;53,4;-2,3;65,8;-0,9;64,7;-6,1;65;0;65;0;50;0;12,5;35;32;14,3;27,1;The Gambia;1,9;$3,1 ;-0,2;2,5;$1.599;7;6,3;28,4;100,2
61;Georgia;Georgia;Europe;23;12;72,6;-0,4;40;0;52;3;87,6;0,4;75,3;1,5;86,5;-2,1;75,7;-4,2;80,5;-2,2;88,6;0;80;0;60;0;0,7;20;15;24,8;28,7;Georgia;4,5;$34,2 ;4,7;5,6;$7.653;13,4;3,1;1.279,10;35,1
62;Germany;Germany;Europe;17;8;74,4;0,6;90;0;79;1;61,5;0,7;41,3;1,2;90;1,8;50,6;-0,6;83,3;1,8;88;0;90;0;70;0;1;47,5;15,8;36,7;44,3;Germany;81,1;$3.721,6 ;1,6;2;$45.888;5;0,8;1.830,90;73,1
63;Ghana;Ghana;Sub-Saharan Africa;72;5;63;0;50;0;48;2;84,9;0,3;77,6;6,8;61,5;-1;56,5;-0,4;66,5;-2,7;65;0,2;60;-5;60;0;10;25;25;16,1;27,3;Ghana;26,2;$108,3 ;4,2;8,3;$4.129;2,4;15,5;3.357,00;67,6
64;Greece;Greece;Europe;138;41;53,2;-0,8;40;0;43;3;64,4;0,2;0;0;73,8;0,5;50,2;-1,4;77,7;-0,1;83;0;60;0;40;-10;1;42;26;33,5;60,1;Greece;11;$284,3 ;0,8;-4,8;$25.859;26,3;-1,4;2.171,60;177,2
65;Guatemala;Guatemala;South and Central America / Caribbean;82;15;61,8;1,4;20;0;32;3;79,1;-0,5;94,3;0,2;62,5;7,8;50,9;0,3;77,9;1,1;86,4;1,8;65;0;50;0;1,8;31;31;13;13,8;Guatemala;15,9;$119,1 ;4;3,5;$7.503;2,9;3,4;1.395,80;23,7
66;Guinea;Guinea;Sub-Saharan Africa;136;30;53,3;1,2;20;5;25;1;68,5;0,4;81,2;1,7;51,4;-0,2;71,8;-2,6;69,2;2,5;61,2;0;45;5;40;0;11,9;40;35;17,9;25,1;Guinea;11,4;$15,0 ;0,4;2,5;$1.313;1,8;9,7;566;37,4
67;Guinea-Bissau;GuineaBissau;Sub-Saharan Africa;145;35;51,8;-0,2;20;0;19;0;89,3;0,2;94,1;6,1;36,7;-2,9;61,1;-0,6;78,5;1;59,4;-6;30;0;30;0;12,8;20;25;6,5;14;Guinea-Bissau;1,7;$2,5 ;2,5;2,8;$1.436;6,9;-1;21,5;61
68;Guyana;Guyana;South and Central America / Caribbean;127;22;55,4;-0,1;30;5;30;3;68,7;0;73,1;2,3;63;-0,8;70,7;-3,8;77,4;-1;70,8;-1,2;40;-5;30;0;7,1;33,3;40;20,6;29,9;Guyana;0,8;$5,5 ;3,8;4,7;$6.895;11,1;1;255,2;65,8
69;Haiti;Haiti;South and Central America / Caribbean;150;24;51,3;0;10;0;19;0;80,5;0,2;76,4;0,2;47,1;4;62;-1,7;76;2,5;72;-5,6;40;0;30;0;6,5;30;30;12,2;28;Haiti;10,5;$18,3 ;2,8;2;$1.750;6,8;3,9;99;26
70;Honduras;Honduras;South and Central America / Caribbean;113;19;57,7;0,3;30;0;29;3;84,2;-0,7;72;-6,7;58;4,8;31;3;74,8;-0,6;78,4;0,8;60;0;60;0;5,8;25;25;18,1;30,6;Honduras;8,3;$39,1 ;3,1;3,5;$4.729;3,9;6,1;1.144,10;46,1
71;Hong Kong SAR;HongKong;Asia-Pacific;1;1;88,6;-1;90;0;74;-1;92,6;-0,6;90,7;1;97,4;-2,6;89;-6,9;81,8;0;90;0;90;0;90;0;0;15;16,5;15,7;17,6;Hong Kong;7,3;$397,5 ;2,3;3,7;$54.722;3,2;4,4;103.254,20;6,9
72;Hungary;Hungary;Europe;58;26;66;-0,8;45;-10;54;0;78,7;0;26,7;0,8;70,6;-3,9;63,8;-3,9;88,3;9,1;88;0;75;0;70;0;1;16;19;38,9;49,4;Hungary;9,9;$246,4 ;3,6;1,3;$24.942;7,8;-0,3;4.039,40;76,9
73;Iceland;Iceland;Europe;20;10;73,3;1,3;90;0;79;1;73,3;1,3;42,1;9,5;90,1;-0,4;61,6;-0,6;79,5;2,5;87,8;-0,2;70;0;60;0;1,1;31,8;20;35,5;43,9;Iceland;0,3;$14,2 ;1,8;1,1;$43.637;5;2;436,1;82,1
74;India;India;Asia-Pacific;123;25;56,2;1,6;55;0;38;2;77,1;-2,3;78,1;-0,2;47,6;4,3;47,8;-0,9;72,8;7,5;71;6,4;35;0;40;0;7;30,9;32,4;16,7;27;India;1259,7;$7.375,9 ;7,2;7,2;$5.855;3,6;6;34.416,80;65
75;Indonesia;Indonesia;Asia-Pacific;99;21;59,4;1,3;30;0;34;2;83,4;0,1;89;0,7;54;4,7;49,3;0,6;74,3;-0,6;80,4;5,6;40;0;60;0;2,3;30;25;11,8;19,1;Indonesia;251,5;$2.676,1 ;5;5,8;$10.641;6,2;6,4;22.579,60;25
76;Iran;Iran;Middle East / North Africa;171;14;43,5;1,7;10;0;27;2;81,2;0;93,2;0,2;59,3;2,3;49;-2,3;50,6;1,9;54,6;13,2;0;0;10;0;15,2;35;25;5,8;15;Iran;78;$1.334,3 ;3;1;$17.114;12,8;15,5;2.105,50;12,2
77;Iraq;Iraq;Middle East / North Africa;;;;;;;16;0;;;29,7;-14,1;63,2;5,5;68,5;-5,9;75;1,4;;;;;;;;15;15;;48,4;Iraq;35,9;$522,7 ;-2,4;6,4;$14.571;16,4;2,2;4.781,80;37
78;Ireland;Ireland;Europe;8;2;77,3;0,7;90;5;74;2;73,6;0;50,3;4,7;79,6;-2,5;72,1;-4,1;85,5;1,6;88;0;90;0;70;0;1;41;12,5;28,3;40,7;Ireland;4,6;$226,8 ;4,8;1,4;$49.195;11,6;0,3;7.697,70;109,5
79;Israel;Israel;Middle East / North Africa;35;4;70,7;0,2;75;0;60;-1;60,6;-1,3;48,8;1;70,6;-1,8;64,6;-2,5;84,2;2,6;88,2;-0,4;85;5;70;0;0,9;48;26,5;30,5;41,3;Israel;8,2;$268,5 ;2,8;3,8;$32.691;6,1;0,5;6.431,60;68,8
80;Italy;Italy;Europe;86;36;61,2;-0,5;50;-5;43;0;55,8;1,6;22,1;-1,1;70,3;-1,6;53;-2,4;84,5;3,3;88;0;85;0;60;0;1;43;27,5;42,6;51;Italy;60;$2.127,7 ;-0,4;-0,5;$35.486;12,5;0,2;11.450,80;132,1
81;Jamaica;Jamaica;South and Central America / Caribbean;48;8;67,5;-0,2;40;0;38;0;81,7;0,2;78;4,8;81,3;-4,6;72,7;-3,8;77,5;6,1;75,4;0,4;80;-5;50;0;7,3;25;25;24;27,1;Jamaica;2,8;$24,1 ;0,5;0;$8.609;13,2;7,1;550,8;140,6
82;Japan;Japan;Asia-Pacific;22;6;73,1;-0,2;80;0;76;2;68,5;-0,2;46,2;-0,9;82,5;-1,6;83,9;-6,3;81,2;-5,5;82,6;0;70;0;60;10;1,2;40,8;23,9;30,3;42,3;Japan;127,1;$4.750,8 ;-0,1;1,5;$37.390;3,7;2,7;2.089,80;246,4
83;Jordan;Jordan;Middle East / North Africa;46;5;68,3;-1;60;0;49;4;91,7;-2;62;-8,7;64,9;5,8;68,4;-6;83,1;2,5;73,4;-6,2;70;0;60;0;8,3;14;20;15,3;35,6;Jordan;6,7;$79,6 ;3,1;2,7;$11.927;11,1;2,9;1.760,40;89,3
