geo\time,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,
Extra-Regio NUTS 2,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,
Kypros,24800,,27100,,27500,,25800,,25400,,25000,,24100,,22500,,22400,,23700,,24500,,25400,(p)
Latvija,13000,,14900,,15300,,12800,,13400,,14900,,16000,,16600,,17500,,18600,,18800,,20000,
Extra-Regio NUTS 2,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,
Sostines regionas,:,,:,,:,,:,,22400,,24500,,26600,,28300,,30100,,31600,,32000,,33600,
Vidurio ir vakaru Lietuvos regionas,:,,:,,:,,:,,12900,,14600,,15700,,16300,,17200,,17900,,18200,,19500,
Luxembourg,64500,,69100,,68400,,62500,,65400,,69300,,69200,,70000,,74400,,77300,,76200,,75900,
Budapest,33200,,34100,,36200,,35700,,36600,,37500,,38200,,38700,,39000,,40200,,39800,,41900,
Pest,13000,,14500,,14200,,13300,,14300,,14400,,14400,,15100,,15500,,16300,,15700,,16000,
Közép-Dunántúl,13800,,14500,,14700,,13100,,14300,,15300,,15300,,16100,,17000,,18400,,18500,,18800,
Nyugat-Dunántúl,15300,,15300,,15800,,14700,,16300,,17400,,17700,,18200,,20100,,21400,,21300,,21500,
Dél-Dunántúl,10200,,10500,,11100,,10800,,11100,,11600,,11900,,12200,,12600,,12900,,12800,,13500,
Észak-Magyarország,9800,,10000,,10200,,9500,,9900,,10400,,10400,,10900,,11900,,13100,,12800,,13700,
Észak-Alföld,9600,,9800,,10200,,10200,,10400,,11200,,11300,,11400,,12100,,12600,,12400,,12900,
Dél-Alföld,10200,,10300,,10900,,10400,,10700,,11500,,11900,,12400,,13400,,14200,,13900,,14500,
Extra-Regio NUTS 2,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,
Malta,19200,,20500,,20700,,19800,,21200,,21500,,22200,,22800,,24500,,27100,,27800,,29200,
Extra-Regio NUTS 2,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,
Groningen,:,,:,,:,,:,,:,,:,,:,,:,,:,,39700,,36100,(p),36500,(p)
Friesland (NL),:,,:,,:,,:,,:,,:,,:,,:,,:,,26200,,25600,(p),26500,(p)
Drenthe,:,,:,,:,,:,,:,,:,,:,,:,,:,,26300,,25500,(p),26300,(p)
Overijssel,:,,:,,:,,:,,:,,:,,:,,:,,:,,30800,,30900,(p),32000,(p)
Gelderland,:,,:,,:,,:,,:,,:,,:,,:,,:,,31400,,31300,(p),32300,(p)
Flevoland,:,,:,,:,,:,,:,,:,,:,,:,,:,,27900,,27900,(p),28800,(p)
Utrecht,:,,:,,:,,:,,:,,:,,:,,:,,:,,46200,,45300,(p),46600,(p)
Noord-Holland,:,,:,,:,,:,,:,,:,,:,,:,,:,,49000,,49100,(p),50300,(p)
Zuid-Holland,:,,:,,:,,:,,:,,:,,:,,:,,:,,38100,,37400,(p),38400,(p)
Zeeland,:,,:,,:,,:,,:,,:,,:,,:,,:,,30100,,29800,(p),30600,(p)
Noord-Brabant,:,,:,,:,,:,,:,,:,,:,,:,,:,,37800,,37500,(p),38800,(p)
Limburg (NL),:,,:,,:,,:,,:,,:,,:,,:,,:,,32400,,32900,(p),34000,(p)
Extra-Regio NUTS 2,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,
Burgenland (AT),20300,,21200,,21000,,20500,,21400,,22300,,23900,,24200,,24800,,26100,,26300,,27100,
Niederösterreich,25200,,26600,,26800,,25400,,26200,,27300,,28600,,28700,,29400,,30800,,30700,,31100,
Wien,41200,,42100,,42400,,40800,,41900,,42900,,44100,,43700,,43900,,45300,,45400,,45200,
Kärnten,26200,,27700,,27700,,26100,,27000,,28600,,29700,,29700,,30500,,31500,,31500,,32600,
Steiermark,27300,,28800,,28900,,27400,,28300,,29700,,31500,,31400,,32400,,33500,,33700,,34500,
Oberösterreich,30700,,32000,,32700,,30700,,32000,,33800,,35400,,35900,,36800,,38200,,38300,,39000,
Salzburg,35600,,37700,,37500,,35700,,37700,,39400,,41800,,41400,,42200,,44500,,45100,,45400,
Tirol,32600,,33700,,33400,,32300,,33000,,34500,,36700,,37100,,38000,,40100,,40200,,40900,
Vorarlberg,32300,,33800,,34000,,32200,,33100,,34900,,36400,,37300,,38800,,42100,,40600,,40600,
