Slaskie,:,,1807,,2387,,2336,,2381,,2513,,2526,,2545,,2674,,3048,,3204,,3886
Wielkopolskie,:,,854,,1256,,1196,,1384,,1417,,1560,,1329,,1423,,1477,,1689,,1842
Zachodniopomorskie,:,,:,,:,,:,,:,,245,,348,,320,,302,,405,,459,,578
Dolnoslaskie,:,,1271,,1478,,1324,,1599,,1609,,1942,,1873,,2038,,2269,,2372,,2806
Kujawsko-Pomorskie,:,,:,,:,,:,,:,,277,,338,,341,,317,,339,,334,,329
Pomorskie,:,,1703,,1951,,1888,,2215,,2456,,2781,,2790,,3454,,3986,,4370,,5036
Lódzkie,:,,:,,:,,:,,:,,384,,463,,354,,254,,288,,241,,207
Podkarpackie,:,,:,,:,,:,,:,,491,,564,,588,,599,,641,,662,,640
Warszawski stoleczny,7080,,9228,,9480,,8333,,8728,,9351,,9605,,10694,,12287,,13804,,15703,,18689
Norte,3108,,3987,,4535,,4509,,5280,,6005,,6053,,6374,,6933,,8089,,9384,,10799
Algarve,4754,,5470,,5447,,5062,,5337,,5617,,5674,,5983,,6169,,6439,,7633,,8729
Centro (PT),:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,8
Área Metropolitana de Lisboa,11236,,13393,,13604,,13265,,14050,,14807,,15316,,16030,,18159,,20113,,22469,,26686
Alentejo,:,,:,,:,,:,,:,,2,,1,,2,,1,,0,,0,,1
Região Autónoma dos Açores (PT),1340,,1445,,1424,,1370,,1351,,1114,,1278,,1315,,1274,,1657,,2019,,2455
Região Autónoma da Madeira (PT),2365,,2491,,2512,,2405,,2289,,2376,,2271,,2438,,2542,,2706,,3102,,3347
Nord-Vest,201,,375,,693,,860,,1089,,1005,,928,,1035,,1179,,1486,,1880,,2678
Centru,:,,:,,:,,:,,:,,177,,176,,545,,560,,613,,653,,491
Nord-Est,:,,:,,:,,:,,:,,294,,394,,536,,576,,745,,1295,,1570
Sud-Est,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
Bucuresti - Ilfov,2977,,5904,,6787,,6454,,7009,,7419,,7509,,7607,,8284,,9274,,10979,,12803
Sud-Vest Oltenia,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
Vest,484,,908,,903,,981,,1159,,1228,,1043,,755,,733,,923,,1160,,1621
Zahodna Slovenija,1217,,1504,,1649,,1423,,1382,,1359,,1168,,1266,,1307,,1436,,1404,,1682
Bratislavský kraj,:,,1976,,2206,,1701,,1658,,1577,,1358,,1340,,1336,,1556,,1746,,1929
Východné Slovensko,:,,431,,583,,348,,264,,264,,234,,236,,355,,408,,435,,495
Extra-Regio NUTS 2,1519,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
Länsi-Suomi,1236,,1347,,1382,,1214,,1122,,1233,,1133,,932,,887,,800,,658,,703
Helsinki-Uusimaa,11127,,13145,,13435,,12602,,12861,,14871,,14851,,15271,,15945,,16418,,17181,,18981
Etelä-Suomi,377,,331,,341,,292,,417,,493,,548,,422,,387,,348,,324,,335
Pohjois- ja Itä-Suomi,2376,,2463,,2359,,2062,,1992,,2436,,2589,,2324,,2414,,2452,,2559,,2722
Åland,47,,63,,62,,56,,49,,54,,55,,52,,52,,59,,60,,62
Extra-Regio NUTS 2,0,,:,,0,,0,,:,,:,,:,,:,,:,,:,,:,,:
Stockholm,18829,,19713,,19985,,18031,,18998,,21241,,21983,,22956,,24809,,25649,,27209,,29130
Östra Mellansverige,95,,2176,,2666,,2699,,2658,,2726,,2476,,2325,,1870,,2021,,2278,,2375
Småland med öarna,577,,662,,682,,609,,637,,696,,707,,737,,799,,840,,875,,984
Sydsverige,2513,,2484,,2346,,2082,,2178,,2570,,2729,,2753,,2699,,2801,,2870,,2835
Västsverige,4168,,5101,,5146,,4418,,4849,,5679,,5669,,5867,,5968,,6167,,6378,,6764
Norra Mellansverige,146,,119,,119,,85,,82,,109,,100,,110,,:,,:,,:,,:
Mellersta Norrland,936,,711,,687,,580,,612,,660,,666,,681,,740,,737,,777,,822
Övre Norrland,2155,,2147,,2251,,2151,,2240,,2444,,2548,,2604,,2761,,2780,,2794,,2959
Tees Valley and Durham,902,,727,,642,,288,,225,,190,,165,,159,,142,,140,,131,,128
Northumberland and Tyne and Wear,5187,,5624,,5016,,4569,,4346,,4336,,4355,,4415,,4513,,4560,,4805,,5298
Cumbria,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
Greater Manchester,22083,,21891,,21062,,18630,,17662,,18804,,19654,,20680,,21950,,23093,,25598,,27774
Lancashire,377,,558,,439,,277,,234,,236,,235,,263,,224,,33,,36,,23
Merseyside,4409,,5463,,5330,,4879,,5008,,5246,,4458,,4186,,3984,,4296,,4777,,4897
East Yorkshire and Northern Lincolnshire,459,,466,,424,,335,,283,,273,,234,,235,,237,,221,,201,,190
South Yorkshire,601,,1062,,968,,835,,876,,822,,693,,690,,724,,857,,1256,,1336
West Yorkshire,2609,,2860,,2860,,2553,,2722,,2910,,2969,,3314,,3263,,3445,,3611,,4075
"Leicestershire, Rutland and Northamptonshire",4182,,5406,,5616,,4653,,4111,,4208,,4068,,4327,,4507,,4446,,4651,,4878
Lincolnshire,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
"Herefordshire, Worcestershire and Warwickshire",718,,599,,331,,0,,:,,0,,0,,0,,0,,0,,0,,:
West Midlands,9311,,9134,,9576,,9092,,8563,,8606,,8916,,9114,,9691,,10180,,11639,,12960
East Anglia,547,,701,,585,,431,,427,,414,,399,,472,,480,,465,,507,,528
Bedfordshire and Hertfordshire,9135,,9919,,10174,,9115,,8733,,9510,,9614,,9693,,10482,,12263,,14642,,15989
Essex,21998,,23808,,22383,,19953,,18566,,18086,,18078,,18814,,21036,,23414,,25191,,26991
Inner London - East,1996,,2912,,3260,,2797,,2781,,2942,,3017,,3380,,3648,,4319,,4539,,4530
Outer London - South,1,,:,,:,,:,,:,,:,,:,,0,,0,,1,,1,,1
Outer London - West and North West,67684,,67852,,66907,,65904,,65742,,69388,,69983,,72332,,73371,,74954,,75672,,77987
"Berkshire, Buckinghamshire and Oxfordshire",:,,:,,:,,1,,2,,2,,6,,7,,1,,0,,0,,0
"Surrey, East and West Sussex",32693,,35166,,34162,,32360,,31341,,33638,,34213,,35427,,38090,,40257,,43143,,45534
Hampshire and Isle of Wight,1835,,1965,,1946,,1789,,1734,,1762,,1693,,1722,,1830,,1776,,1947,,2070
Kent,210,,18,,13,,5,,25,,37,,9,,41,,14,,1,,0,,:
"Gloucestershire, Wiltshire and Bristol/Bath area",5221,,5889,,6248,,5635,,5739,,5782,,5931,,6139,,6348,,6793,,7616,,8236
Dorset and Somerset,829,,1083,,1079,,868,,750,,612,,690,,659,,660,,705,,666,,694
Cornwall and Isles of Scilly,336,,353,,427,,:,,:,,:,,:,,:,,:,,:,,:,,:
Devon,842,,1011,,950,,788,,737,,707,,695,,738,,767,,821,,850,,908
West Wales and The Valleys,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
East Wales,1765,,2093,,1979,,1625,,1398,,1208,,1013,,1057,,1020,,1159,,1344,,1464
North Eastern Scotland,2852,,3411,,3290,,2984,,2763,,3083,,3329,,3440,,3725,,3470,,2946,,3090
Highlands and Islands,1175,,1387,,1377,,1289,,1228,,1306,,1324,,1433,,1480,,1514,,1519,,1651
Eastern Scotland,8497,,9102,,9052,,9114,,8664,,9445,,9248,,9802,,10181,,11135,,12385,,13431
West Central Scotland,8775,,8726,,8135,,7213,,6522,,6858,,7150,,7358,,7709,,8710,,9324,,9895
Southern Scotland,2404,,2421,,2414,,1817,,1660,,1296,,1067,,1145,,912,,610,,672,,696
Northern Ireland (UK),7256,,7851,,8233,,7504,,7090,,6900,,6957,,6949,,6937,,7367,,8103,,8590
Extra-Regio NUTS 2,:,,:,,4,,347,,282,,205,,166,,175,,219,,250,,370,,460
Ísland,2111,,2462,,2241,,1837,,2036,,2463,,2741,,3199,,3854,,4847,,6802,,8319
Oslo og Akershus,12603,,17988,,18530,,18183,,19137,,21103,,22176,,23035,,24129,,24554,,25664,,27346
Hedmark og Oppland,4,,3,,4,,:,,:,,:,,:,,:,,:,,:,,:,,:
Sør-Østlandet,953,,1357,,1803,,2441,,2990,,3005,,3412,,3695,,3544,,3146,,2612,,1944
Agder og Rogaland,3270,,4590,,4830,,4731,,4816,,5394,,5818,,6178,,6151,,5911,,5592,,5610
Vestlandet,4331,,5818,,5918,,5601,,5941,,6595,,6953,,7478,,7509,,7534,,7444,,7597
Trøndelag,2607,,3539,,3618,,3419,,3505,,3902,,4194,,4343,,4393,,4328,,4398,,4401
Nord-Norge,3425,,4534,,4602,,3874,,3983,,4217,,4374,,4508,,4676,,5051,,5205,,5449
Extra-Regio level 2,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
