geo\time,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,
Latvija,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Sostines regionas,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,90,
Vidurio ir vakaru Lietuvos regionas,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,234,
Luxembourg,147,,147,,147,,152,,152,,152,,152,,152,,152,,161,,161,,165,
Budapest,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,61,
Pest,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,241,
Közép-Dunántúl,237,,242,,254,,254,,267,,265,,265,,261,,261,,261,,261,,261,
Nyugat-Dunántúl,116,,136,,167,,166,,165,,168,,168,,168,,168,,183,,188,,189,
Dél-Dunántúl,81,,103,,125,,125,,297,,299,,299,,303,,303,,305,,305,,305,
Észak-Magyarország,185,,174,,174,,173,,173,,173,,173,,173,,174,,174,,174,,174,
Észak-Alföld,79,,132,,132,,132,,132,,132,,132,,175,,190,,190,,190,,197,
Dél-Alföld,143,,142,,143,,143,,145,,181,,181,,181,,181,,208,,208,,208,
Malta,:,(z),:,(z),:,(z),:,(z),:,(z),:,(z),:,(z),:,,:,(z),:,(z),:,(z),:,
Groningen,97,,93,,93,,93,,95,,95,,95,,95,,95,,110,,110,,107,
Friesland (NL),181,,186,,186,,193,,196,,195,,201,,201,,202,,206,,206,,206,
Drenthe,119,,110,,110,,128,,128,,127,,127,,127,,127,,148,,148,,148,
Overijssel,133,,133,,133,,147,,147,,150,,149,,150,,150,,150,,155,,155,
Gelderland,391,,391,,391,,393,,393,,393,,393,,393,,393,,393,,393,,393,
Flevoland,99,,99,,99,,99,,99,,99,,101,,103,,103,,103,,102,,102,
Utrecht,177,,177,,177,,177,,177,,177,,177,,177,,177,,176,,176,,176,
Noord-Holland,283,,283,,283,,283,,283,,282,,284,,290,,296,,296,,295,,297,
Zuid-Holland,352,,353,,353,,353,,361,,362,,362,,362,,362,,361,,368,,368,
Zeeland,99,,84,,84,,65,,63,,65,,69,,68,,70,,71,,87,,87,
Noord-Brabant,490,,491,,491,,483,,490,,489,,489,,489,,492,,505,,504,,504,
Limburg (NL),183,,183,,183,,219,,216,,216,,213,,213,,213,,212,,212,,216,
Burgenland (AT),61,,61,,80,,80,,80,,80,,80,,80,,80,,80,,80,,80,
