geo\time,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018
Piemonte,34.8,,33.8,,32,,32.2,,33.1,(b),32.6,,34.2,,34.3,(b),34.6,,34.4,,35.5,,38.1
Valle d'Aosta/Vallée d'Aoste,29.4,,28.3,,28.6,,28.3,,29.9,(b),31.1,,31.4,,29.9,(b),29.5,,30.3,,32.8,,33.5
Liguria,38,,39.4,,37.9,,36.9,,36.3,(b),36,,36.9,,36.2,(b),36,,36.3,,37,,39.4
Lombardia,37.5,,37.7,,36.4,,36.3,,37.5,(b),37.5,,37.4,,37.3,(b),38.7,,38.7,,40,,40.9
Provincia Autonoma di Bolzano/Bozen,33.3,,32.9,,31.6,,31.3,,31,(b),30.6,,31.1,,32.7,(b),31.7,,31.8,,32.1,,33.7
Provincia Autonoma di Trento,36.4,,35.2,,36,,35.8,,35.7,(b),35,,34.9,,36,(b),35.9,,37.1,,39.2,,37.9
Veneto,33,,32.4,,31.9,,32.3,,32.4,(b),31.6,,31.7,,31.5,(b),33.3,,35.2,,35.9,,36
Friuli-Venezia Giulia,35.5,,34,,32.1,,32.9,,33.2,(b),35.7,,36,,35.4,(b),35.2,,35.4,,37.2,,37.8
Emilia-Romagna,35.7,,36.2,,36.1,,34.5,,35.5,(b),36.2,,35.5,,36.7,(b),37.9,,38.4,,37.9,,38.8
Toscana,34.4,,34.5,,33.5,,32.4,,33.7,(b),33.5,,32.6,,32.8,(b),33.9,,34.2,,34.8,,36
Umbria,32.4,,32.7,,32.1,,31.5,,32.8,(b),33.3,,33.9,,34,(b),33.4,,34.6,,34.7,,34.6
Marche,31.7,,30.9,,29.8,,30,,31.5,(b),33.5,,34,,33.5,(b),33.1,,33.7,,34.3,,34.1
Lazio,40.7,,39.1,,37.5,,36.4,,37.5,(b),37.1,,37.5,,39.3,(b),38.9,,38.4,,39.9,,40.8
Abruzzo,31.6,,33.6,,33.2,,33.7,,34.7,(b),34,,35.1,,32.5,(b),31.4,,32.5,,33.6,,34.5
Molise,30.5,,30.1,,29.9,,29.2,,29.1,(b),31.5,,30.6,,31.6,(b),34.2,,34.8,,35.2,,35.4
Campania,28.4,,28.6,,29.2,,29.5,,29.4,(b),29.8,,29.6,,29.2,(b),29.2,,29.3,,29.2,,29
Puglia,27.7,,28.1,,26.6,,26.3,,26.9,(b),26.5,,26.6,,27.3,(b),26.4,,26.1,,27.6,,27.9
Basilicata,30.3,,30.3,,28.3,,26.9,,28.2,(b),29.6,,31,,30.7,(b),31,,30.8,,31.5,,29.5
Calabria,31.9,,31.4,,31.6,,29.4,,28,(b),28.6,,27.1,,27.9,(b),28.5,,28.5,,27.6,,26.9
Sicilia,29.7,,29,,28.3,,27.8,,27.1,(b),27.2,,27.9,,27.5,(b),27.7,,27.1,,27.3,,27.8
Sardegna,28.9,,28.1,,27.5,,26.2,,27.7,(b),28.3,,27.2,,25.7,(b),28.5,,28.9,,29.3,,28.4
Kypros,41.1,,42.3,,41.6,(b),42.6,,45.5,(b),47,,46.9,,47.7,(b),48.1,,49.3,,49.7,,50.4
Latvija,36.1,,38.3,,37.1,,36.5,,37.1,(b),38.9,,40.2,,39.9,(b),41.6,,42.3,,43.3,,43.6
Sostines regionas,:,,:,,:,,:,,:,,:,,54.3,,55.6,(b),59,,59.6,,59.6,,60.4
Vidurio ir vakaru Lietuvos regionas,:,,:,,:,,:,,:,,:,,40.2,,41.1,(b),42.1,,42.4,,42.7,,43.5
Lietuva (NUTS 2013),39.1,,41.6,,40.7,,41.5,,42.4,(b),42.9,,:,,:,,:,,:,,:,,:
Luxembourg,41.9,(b),43.5,,53.8,(b),54.5,,55.4,(b),57,,59.2,,62.4,(b),56.2,(b),57.2,,55.4,,59.1
Budapest,:,,:,,:,,:,,:,,:,,53.9,,56.6,(b),56.7,,55.4,,55.8,,58.9
Pest,:,,:,,:,,:,,:,,:,,35.5,,36.8,(b),37.5,,38.2,,37.4,,36.8
Közép-Magyarország (NUTS 2013),42.1,,44.3,,43.8,,43.2,,45.4,(b),45.8,,:,,:,,:,,:,,:,,:
Közép-Dunántúl,25.5,,27.3,,25.6,,25.3,,27.5,(b),29.8,,29.8,,29.3,(b),30,,29.2,,31.1,,30.6
Nyugat-Dunántúl,24.9,,26,,27.1,,26.5,,28.9,(b),28.7,,28.7,,31.2,(b),31.8,,30.5,,31.4,,30.7
Dél-Dunántúl,25.7,,27.6,,28.2,,27.3,,29.1,(b),30.3,,31.2,,29.8,(b),30.1,,30.2,,28.3,,28
Észak-Magyarország,25,,25.8,,27.4,,27.5,,28.5,(b),28.2,,29.2,,28.2,(b),28.5,,28.1,,29.7,,29.5
Észak-Alföld,26.7,,27.4,,27.2,,26.8,,28.4,(b),28.7,,29.3,,27.7,(b),26.3,,26.8,,27,,28.5
Dél-Alföld,27.4,,28.6,,28.9,,29,,28.5,(b),30.3,,30,,29,(b),29.2,,30,,29.1,,31.4
Malta,30.3,,30.6,,31.3,,31.3,,33.9,(b),36,,37.4,,37.9,(b),38.7,,39.1,,41.4,,43.6
Groningen,42.8,,42,,42.5,,48.3,,46.1,(b),46.6,,46.3,(b),46,(b),47,,49.9,,49.7,,50.3
Friesland (NL),37.2,,36.2,,36.9,,40.5,,40.6,(b),39.8,,41.4,(b),39.4,(b),39,,39.8,,41.2,,43.9
Drenthe,37.3,,38,,39.4,,41,,40.1,(b),39.4,,42.1,(b),43.8,(b),42.2,,42.3,,42.2,,44.5
Overijssel,40.2,,40.7,,40.3,,41.3,,42.5,(b),43.4,,43.1,(b),44,(b),44.4,,45,,45.6,,46.7
Gelderland,42.2,,43.3,,44.2,,44.7,,44.6,(b),45.5,,46.2,(b),46.5,(b),47.2,,46.6,,46.9,,48.9
Flevoland,40.3,,40.9,,41.2,,44.3,,44.6,(b),43,,44.1,(b),42.5,(b),44.2,,44.9,,47.2,,44.9
Utrecht,51.5,,53.9,,53,,54.9,,56.6,(b),55.8,,56,(b),56.6,(b),57.8,,58.1,,60.1,,61.8
Noord-Holland,48.2,,50.1,,51.4,,52.7,,52.8,(b),52.3,,52.1,(b),53.5,(b),54,,56,,56.6,,57.2
